Ambient Temperature(C): 23.8
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	24.20	25.00	25.00	24.50	0.00
0.10	24.50	25.10	24.70	24.50	0.00
0.20	24.50	25.10	24.70	24.40	0.00
0.30	24.50	24.90	24.60	24.50	0.00
0.40	24.60	25.10	24.60	24.50	0.00
0.50	24.60	25.10	25.00	24.50	0.00
0.60	24.30	25.10	24.40	24.50	0.00
0.70	24.60	25.30	24.70	24.80	0.00
0.80	24.70	25.00	24.70	24.50	0.00
0.90	24.70	25.00	24.60	24.50	0.00
1.00	24.90	25.10	24.90	24.40	0.00
1.10	24.90	25.10	24.90	24.70	0.00
1.20	24.30	25.10	25.00	24.80	0.00
1.30	24.70	25.00	25.00	24.80	0.00
1.40	24.70	25.00	25.00	24.80	0.00
1.50	24.40	24.90	24.90	24.70	0.00
1.60	24.60	25.20	25.00	24.50	0.00
1.70	24.60	25.20	25.00	24.40	0.00
1.80	24.30	25.10	24.70	24.70	0.00
1.90	24.70	25.10	25.50	24.50	0.00
2.00	24.70	25.10	24.90	24.50	0.00
2.10	24.40	25.20	24.70	24.50	0.00
2.20	24.60	25.00	24.70	24.50	0.00
2.30	24.60	25.00	25.20	24.70	0.00
2.40	24.60	25.00	24.60	24.70	0.00
2.50	24.60	25.00	25.00	24.50	0.00
2.60	24.10	25.00	25.20	24.80	0.00
2.70	24.40	25.00	24.90	24.70	0.00
2.80	24.40	25.00	24.70	24.40	0.00
2.90	24.30	25.10	24.90	24.40	0.00
3.00	24.10	25.00	24.60	24.70	0.00
3.10	24.10	25.00	24.60	24.70	0.00
3.20	24.60	25.20	24.90	24.40	0.00
3.30	24.60	25.20	24.70	24.80	0.00
3.40	24.40	25.00	24.70	24.80	0.00
3.50	24.40	25.00	24.90	24.50	0.00
3.60	24.60	25.10	25.00	24.70	0.00
3.70	24.60	25.10	24.90	24.40	0.00
3.80	24.50	25.10	24.90	24.20	0.00
3.90	24.60	25.10	24.70	24.50	0.00
4.00	24.60	25.10	24.70	24.50	0.00
4.10	24.20	25.20	25.30	24.70	0.00
4.20	24.60	25.00	24.90	24.40	0.00
4.30	24.70	25.00	24.40	24.40	0.00
4.40	24.70	25.00	24.70	24.50	0.00
4.50	24.60	25.00	24.90	24.50	0.00
4.60	24.70	25.10	24.90	24.80	0.00
4.70	24.70	25.10	24.90	24.70	0.00
4.80	24.20	25.00	24.70	24.70	0.00
4.90	24.20	25.00	24.70	24.70	0.00
5.00	24.50	25.10	24.90	24.20	0.00
5.10	24.30	25.10	24.60	24.80	0.00
5.20	24.70	25.00	24.60	24.50	0.00
5.30	24.70	25.00	24.60	24.50	0.00
5.40	24.30	25.00	24.70	24.70	0.00
5.50	24.30	25.00	24.90	24.70	0.00
5.60	24.20	25.20	24.70	24.70	0.00
5.70	24.20	24.90	24.30	24.50	0.00
5.80	24.60	25.00	24.60	24.50	0.00
5.90	24.60	25.00	24.90	24.80	0.00
6.00	24.30	25.10	24.70	24.50	0.00
6.10	24.20	25.10	24.90	24.50	0.00
6.20	24.20	25.10	24.90	24.40	0.00
6.30	24.30	25.20	25.00	24.80	0.00
6.40	24.70	25.10	24.90	24.40	0.00
6.50	24.70	25.10	25.00	25.00	0.00
6.60	24.10	25.10	25.00	25.00	0.00
6.70	24.70	25.10	24.70	23.30	0.00
6.80	24.70	25.10	24.70	24.40	0.00
6.90	24.40	25.10	24.70	24.20	0.00
7.00	24.40	25.00	24.60	24.50	0.00
7.10	24.40	25.00	24.60	24.70	0.00
7.20	24.60	25.10	24.90	24.50	0.00
7.30	24.60	25.10	25.00	24.50	0.00
7.40	24.20	25.00	24.70	24.70	0.00
7.50	24.80	25.00	24.70	24.70	0.00
7.60	24.80	25.00	25.20	24.50	0.00
7.70	24.20	25.20	25.00	24.70	0.00
7.80	24.80	25.20	24.70	25.20	0.00
7.90	24.80	25.20	25.00	24.50	0.00
8.00	24.70	25.00	24.70	24.40	0.00
8.10	24.70	25.00	24.30	24.50	0.00
8.20	24.40	25.00	24.60	24.80	0.00
8.30	24.40	25.20	24.90	24.50	0.00
8.40	24.40	25.20	24.90	24.50	0.00
8.50	24.30	25.10	24.70	24.50	0.00
8.60	24.80	25.00	24.90	24.20	0.00
8.70	24.80	25.00	25.00	24.40	0.00
8.80	24.30	25.10	24.70	23.20	0.00
8.90	24.30	25.10	24.90	24.40	0.00
9.00	24.20	25.00	25.00	24.20	0.00
9.10	24.90	25.00	24.70	24.80	0.00
9.20	24.90	25.00	24.90	24.70	0.00
9.30	24.70	25.20	24.90	24.70	0.00
9.40	24.40	25.00	24.70	24.70	0.00
9.50	24.50	25.10	24.90	24.70	0.00
9.60	24.50	25.10	24.90	24.70	0.00
9.70	24.60	25.10	25.00	24.20	0.00
9.80	24.60	25.10	24.90	24.40	0.00
9.90	24.50	25.00	24.90	24.50	0.00
10.00	23.90	25.20	24.90	24.70	0.00
10.10	23.90	25.20	25.00	24.20	0.00
10.20	24.60	25.00	25.00	24.20	0.00
10.30	24.50	25.00	25.00	24.40	0.00
10.40	24.50	25.00	24.90	24.40	0.00
10.50	24.50	25.00	24.90	24.50	0.00
10.60	24.40	25.10	24.90	24.50	0.00
10.70	24.40	25.10	25.00	24.50	0.00
10.80	24.30	25.20	24.90	24.40	0.00
10.90	24.60	25.10	24.90	23.80	0.00
11.00	24.60	25.10	25.00	24.70	0.00
11.10	24.90	25.10	25.00	24.70	0.00
11.20	24.30	24.90	24.40	24.50	0.00
11.30	24.20	25.00	25.00	24.40	0.00
11.40	24.20	25.00	24.90	25.20	0.00
11.50	24.30	25.10	25.00	24.50	0.00
11.60	24.30	25.10	25.00	24.20	0.00
11.70	24.70	24.90	24.70	24.40	0.00
11.80	24.20	25.10	24.60	24.40	0.00
11.90	24.20	25.10	24.90	24.70	0.00
12.00	24.30	25.20	24.90	24.70	0.00
12.10	24.40	25.30	24.90	24.50	0.00
12.20	24.60	25.00	25.00	24.70	0.00
12.30	24.60	25.00	24.90	24.40	0.00
12.40	24.60	25.00	25.00	24.20	0.00
12.50	24.60	25.00	24.90	24.50	0.00
12.60	24.40	25.00	24.70	24.20	0.00
12.70	24.60	25.10	25.00	24.50	0.00
12.80	24.70	25.00	25.20	24.70	0.00
12.90	24.70	25.00	24.60	24.50	0.00
13.00	24.60	25.00	25.00	24.70	0.00
13.10	24.60	25.00	24.90	24.70	0.00
13.20	24.60	25.00	24.70	24.50	0.00
13.30	24.30	25.00	24.70	24.80	0.00
13.40	24.90	25.10	24.60	24.50	0.00
13.50	24.90	25.10	24.60	24.80	0.00
13.60	24.70	24.90	24.60	24.70	0.00
13.70	24.70	24.90	24.60	24.70	0.00
13.80	24.20	25.10	24.70	24.70	0.00
13.90	24.20	25.10	25.00	25.00	0.00
14.00	24.70	25.00	23.80	24.40	0.00
14.10	24.70	25.00	25.00	24.70	0.00
14.20	24.40	25.10	24.70	24.70	0.00
14.30	24.40	25.10	25.00	24.50	0.00
14.40	24.40	25.10	24.90	24.70	0.00
14.50	24.60	25.10	24.90	24.50	0.00
14.60	24.60	25.10	24.90	24.50	0.00
14.70	24.60	25.00	24.70	24.70	0.00
14.80	24.50	25.00	25.00	24.70	0.00
14.90	24.40	25.00	24.70	24.80	0.00
15.00	24.40	25.00	24.30	24.70	0.00
15.10	24.30	25.10	24.70	24.40	0.00
15.20	24.60	25.20	24.40	24.70	0.00
15.30	24.60	25.20	24.70	24.40	0.00
15.40	24.40	25.10	24.90	24.50	0.00
15.50	24.50	25.20	25.00	24.70	0.00
15.60	24.50	25.20	24.90	24.20	0.00
15.70	24.50	25.00	25.20	24.70	0.00
15.80	24.30	25.10	25.30	24.80	0.00
15.90	24.30	25.10	25.00	24.20	0.00
16.00	24.50	25.00	24.90	24.50	0.00
16.10	24.40	24.90	24.70	24.20	0.00
16.20	24.40	24.90	24.90	24.40	0.00
16.30	24.60	25.10	24.90	24.80	0.00
16.40	24.50	25.00	24.90	24.80	0.00
16.50	24.50	25.00	24.60	24.50	0.00
16.60	24.40	25.00	24.90	24.50	0.00
16.70	24.50	25.10	24.70	24.50	0.00
16.80	24.50	25.10	24.70	24.70	0.00
16.90	24.50	25.10	24.60	24.80	0.00
