Ambient Temperature(C): 23.8
Ambient Pressure(in Hg): 
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	23.10	23.10	1.60	3.50	0.00
0.10	23.10	23.10	1.20	3.50	0.00
0.20	23.20	23.10	2.10	3.50	0.00
0.30	23.00	23.00	1.80	3.60	0.00
0.40	23.00	23.00	2.10	3.20	0.00
0.50	23.20	23.20	2.10	2.50	0.00
0.60	23.20	23.20	2.10	2.50	0.00
0.70	23.00	23.00	1.90	3.30	0.00
0.80	23.20	23.10	1.80	3.60	0.00
0.90	23.20	23.10	2.10	3.30	0.00
1.00	23.20	23.10	1.30	3.50	0.00
1.10	23.20	23.10	1.80	3.00	0.00
1.20	23.20	23.10	1.80	3.60	0.00
1.30	23.20	23.10	1.80	3.80	0.00
1.40	23.20	23.30	1.80	3.50	0.00
1.50	23.20	23.30	1.80	3.50	0.00
1.60	23.20	23.20	1.80	3.60	0.00
1.70	23.20	23.20	1.90	3.20	0.00
1.80	23.10	23.10	2.10	3.20	0.00
1.90	23.30	23.20	1.60	3.30	0.00
2.00	23.30	23.20	1.90	3.20	0.00
2.10	23.40	23.30	1.60	3.30	0.00
2.20	23.40	23.30	1.50	3.20	0.00
2.30	23.30	23.30	1.60	3.30	0.00
2.40	23.50	23.40	1.60	3.30	0.00
2.50	23.50	23.40	1.80	3.50	0.00
2.60	23.30	23.20	2.10	3.60	0.00
2.70	23.40	23.30	1.90	3.50	0.00
2.80	23.40	23.30	1.90	3.30	0.00
2.90	23.40	23.20	2.10	3.60	0.00
3.00	23.40	23.20	1.80	3.30	0.00
3.10	23.10	23.10	2.40	3.50	0.00
3.20	23.10	23.10	2.10	3.80	0.00
3.30	23.30	23.00	2.10	3.80	0.00
3.40	23.30	23.20	1.80	3.50	0.00
3.50	23.30	23.20	1.90	3.30	0.00
3.60	23.30	23.30	2.10	3.50	0.00
3.70	23.30	23.20	1.90	3.20	0.00
3.80	23.30	23.20	2.30	3.50	0.00
3.90	23.10	23.10	2.10	3.50	0.00
4.00	23.40	23.10	2.10	3.30	0.00
4.10	23.40	23.10	1.90	3.20	0.00
4.20	23.20	23.20	1.90	3.20	0.00
4.30	23.40	23.20	1.80	3.50	0.00
4.40	23.40	23.20	1.90	3.50	0.00
4.50	23.40	23.20	1.90	3.50	0.00
4.60	23.30	23.10	2.10	3.30	0.00
4.70	23.30	23.10	2.30	3.50	0.00
4.80	23.40	23.30	1.80	3.50	0.00
